us,flow,size
1746361367940709,1,1024
1746361367941077,1,1024
1746361367941161,1,1024
1746361367941219,1,1024
1746361367941268,1,1024
1746361367941314,1,1024
1746361367941358,1,1024
1746361367941408,1,1024
1746361367941460,1,1024
1746361367941503,1,1024
1746361367941546,1,1024
1746361367941584,1,1024
1746361367941630,1,1024
1746361367941671,1,1024
1746361368511831,1,1024
1746361368512553,1,1024
1746361368512872,1,1024
1746361368513111,1,1024
1746361368513338,1,1024
1746361368513533,1,1024
1746361368513663,1,1024
1746361368513792,1,1024
1746361368513909,1,1024
1746361368514027,1,1024
1746361368514140,1,1024
1746361368514248,1,1024
1746361368514371,1,1024
1746361368514469,1,1024
1746361368514564,1,1024
1746361368514663,1,1024
1746361368514757,1,1024
1746361368514854,1,1024
1746361368514944,1,1024
1746361368515035,1,1024
1746361368515129,1,1024
1746361368515222,1,1024
1746361368515312,1,1024
1746361368515472,1,1024
1746361368515860,1,1024
1746361368516203,1,1024
1746361368516358,1,1024
1746361368516486,1,1024
1746361368573490,1,1024
1746361368574082,1,1024
1746361368574247,1,1024
1746361368894149,1,1024
1746361368894974,1,1024
1746361368957002,1,1024
1746361368957949,1,1024
1746361368958293,1,1024
1746361368958514,1,1024
1746361368958657,1,1024
1746361368958832,1,1024
1746361368958993,1,1024
1746361368959154,1,1024
1746361368959309,1,1024
1746361368959461,1,1024
1746361368959612,1,1024
1746361368959786,1,1024
1746361368959955,1,1024
1746361368960075,1,1024
1746361368960175,1,1024
1746361368960281,1,1024
1746361368960382,1,1024
1746361369247267,1,1024
1746361369247987,1,1024
1746361369248310,1,1024
1746361369248666,1,1024
1746361369249072,1,1024
1746361369249387,1,1024
1746361369249608,1,1024
1746361369249786,1,1024
1746361369249921,1,1024
1746361369250044,1,1024
1746361369250209,1,1024
1746361369250342,1,1024
1746361369250537,1,1024
1746361369250842,1,1024
1746361369251051,1,1024
1746361369309312,1,1024
1746361369310041,1,1024
1746361369310341,1,1024
1746361369889938,1,1024
1746361369890635,1,1024
1746361369891007,1,1024
1746361369891359,1,1024
1746361369891722,1,1024
1746361369892009,1,1024
1746361369892495,1,1024
1746361369892741,1,1024
1746361369892912,1,1024
1746361369893059,1,1024
1746361369893187,1,1024
1746361369893319,2,512
1746361369893446,1,1024
1746361369893541,2,512
1746361369893642,1,1024
1746361369893746,2,512
1746361369893842,1,1024
1746361369893936,2,512
1746361369894034,1,1024
1746361369894124,2,512
1746361369894210,1,1024
1746361369894296,2,512
1746361369894382,1,1024
1746361369894472,2,512
1746361369894554,1,1024
1746361369894713,2,512
1746361369894838,1,1024
1746361369894964,2,512
1746361369895081,1,1024
1746361369895199,2,512
1746361369895312,1,1024
1746361369895419,2,512
1746361369895526,1,1024
1746361369895641,2,512
1746361369895744,1,1024
1746361369895835,2,512
1746361369895923,1,1024
1746361369896012,2,512
1746361369896099,1,1024
1746361369896193,2,512
1746361369896287,1,1024
1746361369896376,2,512
1746361369896470,1,1024
1746361369896559,2,512
1746361369896638,1,1024
1746361369896718,2,512
1746361369896807,1,1024
1746361369896891,2,512
1746361369896970,2,512
1746361370065476,2,512
1746361370066161,1,1024
1746361370066566,2,512
1746361370066876,1,1024
1746361370067034,2,512
1746361370067123,1,1024
1746361370067206,2,512
1746361370067285,1,1024
1746361370067363,2,512
1746361370067438,1,1024
1746361370067517,2,512
1746361370067594,1,1024
1746361370067669,2,512
1746361370067744,1,1024
1746361370067817,2,512
1746361370067889,1,1024
1746361370067962,2,512
1746361370068032,1,1024
1746361370068102,2,512
1746361370068174,2,512
1746361370068244,2,512
1746361370068314,2,512
1746361370068385,2,512
1746361370068459,2,512
1746361370068533,2,512
1746361370174050,2,512
1746361370174770,1,1024
1746361370175384,2,512
1746361370175603,1,1024
1746361370175724,2,512
1746361370175817,1,1024
1746361370175900,2,512
1746361370175977,1,1024
1746361370176051,2,512
