us,flow,size,rtt_us
1746368429635019,1,1024,0
1746368429639818,1,1024,0
1746368429644484,1,1024,0
1746368429649176,1,1024,0
1746368429653797,1,1024,0
1746368429658494,1,1024,0
1746368429663100,1,1024,0
1746368429667723,1,1024,0
1746368429672331,1,1024,0
1746368429676950,1,1024,0
1746368429681569,1,1024,0
1746368429686292,1,1024,0
1746368429690971,1,1024,0
1746368429695647,1,1024,0
1746368429700331,1,1024,0
1746368429704795,1,1024,0
1746368429709441,1,1024,0
1746368429714047,1,1024,0
1746368429718680,1,1024,0
1746368429723287,1,1024,0
1746368429727898,1,1024,0
1746368429732147,1,1024,0
1746368429736805,1,1024,0
1746368429741415,1,1024,0
1746368429746027,1,1024,0
1746368429750226,1,1024,0
1746368429754660,1,1024,0
1746368429759312,1,1024,0
1746368429763766,1,1024,0
1746368429768384,1,1024,0
1746368429772977,1,1024,0
1746368429777135,1,1024,0
1746368429781734,1,1024,0
1746368429786326,1,1024,0
1746368429790934,1,1024,0
1746368429795190,1,1024,0
1746368429799598,1,1024,0
1746368429804153,1,1024,0
1746368429808765,1,1024,0
1746368429813379,1,1024,0
1746368429817973,1,1024,0
1746368429822377,1,1024,0
1746368429826997,1,1024,0
1746368429831261,1,1024,0
1746368429835847,1,1024,0
1746368429840540,1,1024,0
1746368429845168,1,1024,0
1746368429849804,1,1024,0
1746368429854433,1,1024,0
1746368429858974,1,1024,0
1746368429863606,1,1024,0
1746368429868288,1,1024,0
1746368429872910,1,1024,0
1746368429877518,1,1024,0
1746368429882127,1,1024,0
1746368429886757,1,1024,0
1746368429891381,1,1024,0
1746368429895989,1,1024,0
1746368429900390,1,1024,0
1746368429904966,1,1024,0
1746368429909621,1,1024,0
1746368429914244,1,1024,0
1746368429918875,1,1024,0
1746368429923467,1,1024,0
1746368429928079,1,1024,0
1746368429932693,1,1024,0
1746368429937293,1,1024,0
1746368429941886,1,1024,0
1746368429946374,1,1024,0
1746368429951019,1,1024,0
1746368429955623,1,1024,0
1746368429959931,1,1024,0
1746368429964527,1,1024,0
1746368429969134,1,1024,0
1746368429973753,1,1024,0
1746368429978365,1,1024,0
1746368429982955,1,1024,0
1746368429987552,1,1024,0
1746368429992172,1,1024,0
1746368429996775,1,1024,0
1746368430001325,1,1024,0
1746368430005987,1,1024,0
1746368430010624,1,1024,0
1746368430015225,1,1024,0
1746368430019830,1,1024,0
1746368430024439,1,1024,0
1746368430029053,1,1024,0
1746368430033298,1,1024,0
1746368430037932,1,1024,0
1746368430042557,1,1024,0
1746368430047155,1,1024,0
1746368430051791,1,1024,0
1746368430056405,1,1024,0
1746368430061031,1,1024,0
1746368430065478,1,1024,0
1746368430070113,1,1024,0
1746368430074560,1,1024,0
1746368430079247,1,1024,0
1746368430083883,1,1024,0
1746368430088556,1,1024,0
1746368430093216,1,1024,0
1746368430097870,1,1024,0
1746368430102509,1,1024,0
1746368430107071,1,1024,0
1746368430111778,1,1024,0
1746368430116418,1,1024,0
1746368430121036,1,1024,0
1746368430125674,1,1024,0
1746368430130277,1,1024,0
1746368430134904,1,1024,0
1746368430139550,1,1024,0
1746368430144178,1,1024,0
1746368430148793,1,1024,0
1746368430153486,1,1024,0
1746368430157976,1,1024,0
1746368430162622,1,1024,0
1746368430167221,1,1024,0
1746368430171822,1,1024,0
1746368430176463,1,1024,0
1746368430181109,1,1024,0
1746368430185718,1,1024,0
1746368430190331,1,1024,0
1746368430194540,1,1024,0
1746368430199175,1,1024,0
1746368430203789,1,1024,0
1746368430208444,1,1024,0
1746368430213051,1,1024,0
