timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003493.325053,2,512,0,1.17
1749003493.325092,2,512,1,1.16
1749003493.325105,2,512,2,1.16
1749003493.325116,2,512,3,1.14
1749003493.325127,2,512,4,1.11
1749003493.325137,2,512,5,1.09
1749003493.325147,2,512,6,1.08
1749003493.325155,2,512,7,1.07
1749003493.325166,2,512,8,1.07
1749003493.325176,2,512,9,1.07
1749003493.325185,2,512,10,1.07
1749003493.325213,2,512,11,1.09
1749003493.325226,2,512,12,1.10
1749003493.325236,2,512,13,1.10
1749003493.325323,2,512,14,1.18
1749003493.325335,2,512,15,1.19
1749003493.325359,2,512,16,1.21
1749003493.3253708,2,512,17,1.21
1749003493.325393,2,512,18,1.23
1749003493.325404,2,512,19,1.24
1749003493.3254259,2,512,20,1.25
1749003493.325438,2,512,21,1.26
1749003493.325459,2,512,22,1.28
1749003493.325471,2,512,23,1.28
1749003493.3254888,2,512,24,1.29
1749003493.325501,2,512,25,1.30
1749003493.325525,2,512,26,1.32
1749003493.325537,2,512,27,1.32
1749003493.3255591,2,512,28,1.34
1749003493.325571,2,512,29,1.35
1749003493.3255968,2,512,30,1.37
1749003493.325608,2,512,31,1.38
1749003493.325631,2,512,32,1.39
1749003493.325643,2,512,33,1.40
1749003493.325674,2,512,34,1.43
1749003493.3256829,2,512,35,1.43
1749003493.3257039,2,512,36,1.44
1749003493.325718,2,512,37,1.45
1749003493.325726,2,512,38,1.45
1749003493.325755,2,512,39,1.48
1749003493.3257651,2,512,40,1.48
1749003493.325772,2,512,41,1.48
1749003493.325782,2,512,42,1.49
1749003493.32579,2,512,43,1.49
1749003493.325817,2,512,44,1.51
1749003493.325828,2,512,45,1.52
1749003493.325834,2,512,46,1.52
1749003493.325857,2,512,47,1.54
1749003493.3258681,2,512,48,1.54
1749003493.325875,2,512,49,1.54
1749003493.3258948,2,512,50,1.56
1749003493.3259048,2,512,51,1.56
1749003493.3259158,2,512,52,1.57
1749003493.3259242,2,512,53,1.57
1749003493.325948,2,512,54,1.59
1749003493.325959,2,512,55,1.60
1749003493.3259678,2,512,56,1.60
1749003493.3259761,2,512,57,1.60
1749003493.325999,2,512,58,1.62
1749003493.326009,2,512,59,1.63
1749003493.3260329,2,512,60,1.64
1749003493.3260438,2,512,61,1.65
1749003493.326051,2,512,62,1.65
1749003493.3260741,2,512,63,1.67
1749003493.3260841,2,512,64,1.68
1749003493.326116,2,512,65,1.70
1749003493.326126,2,512,66,1.71
1749003493.326133,2,512,67,1.71
1749003493.326155,2,512,68,1.72
1749003493.326166,2,512,69,1.73
1749003493.326176,2,512,70,1.73
1749003493.326186,2,512,71,1.74
1749003493.326197,2,512,72,1.74
1749003493.326229,2,512,73,1.77
1749003493.3262458,2,512,74,1.78
1749003493.3262599,2,512,75,1.79
1749003493.326269,2,512,76,1.80
1749003493.326278,2,512,77,1.80
1749003493.326287,2,512,78,1.81
1749003493.3262951,2,512,79,1.81
1749003493.326318,2,512,80,1.83
1749003493.326331,2,512,81,1.84
1749003493.3263402,2,512,82,1.84
1749003493.326348,2,512,83,1.84
1749003493.3263738,2,512,84,1.86
1749003493.3263848,2,512,85,1.87
1749003493.3263922,2,512,86,1.87
1749003493.3264089,2,512,87,1.88
1749003493.3264158,2,512,88,1.88
1749003493.3264399,2,512,89,1.90
1749003493.326454,2,512,90,1.91
1749003493.3264608,2,512,91,1.91
1749003493.3264692,2,512,92,1.92
1749003493.326476,2,512,93,1.92
1749003493.326507,2,512,94,1.94
1749003493.326516,2,512,95,1.95
1749003493.326538,2,512,96,1.96
1749003493.326549,2,512,97,1.97
1749003493.326578,2,512,98,1.99
1749003493.326586,2,512,99,2.00
1749003493.34752,2,512,100,1.40
1749003493.347533,2,512,101,1.35
1749003493.370399,2,512,102,1.15
1749003493.370425,2,512,103,1.15
1749003493.389392,2,512,104,0.28
1749003493.390666,2,512,105,1.35
1749003493.4135711,2,512,106,0.16
1749003493.413588,2,512,107,0.15
1749003493.431442,2,512,108,0.23
1749003493.435315,2,512,109,1.45
1749003493.456886,2,512,110,1.31
1749003493.456913,2,512,111,1.29
1749003493.479632,2,512,112,1.13
1749003493.4796538,2,512,113,1.12
1749003493.497462,2,512,114,1.40
1749003493.500017,2,512,115,1.23
1749003493.5213408,2,512,116,0.89
1749003493.521367,2,512,117,0.86
1749003493.54025,2,512,118,0.20
1749003493.541525,2,512,119,0.89
1749003493.564234,2,512,120,1.33
1749003493.56427,2,512,121,1.32
1749003493.584417,2,512,122,0.40
1749003493.584437,2,512,123,0.39
1749003493.605688,2,512,124,0.17
1749003493.605723,2,512,125,0.18
1749003493.629775,2,512,126,1.08
1749003493.629791,2,512,127,1.07
1749003493.65007,2,512,128,1.41
1749003493.650099,2,512,129,1.35
1749003493.673955,2,512,130,0.22
1749003493.673975,2,512,131,0.21
1749003493.692825,2,512,132,1.34
1749003493.695337,2,512,133,0.99
1749003493.7142248,2,512,134,1.24
1749003493.715471,2,512,135,0.76
1749003493.737963,2,512,136,1.14
1749003493.737979,2,512,137,1.13
1749003493.7579541,2,512,138,1.02
1749003493.757975,2,512,139,0.98
1749003493.783156,2,512,140,1.33
1749003493.783179,2,512,141,1.31
1749003493.799307,2,512,142,1.37
1749003493.804214,2,512,143,1.35
1749003493.823188,2,512,144,1.45
1749003493.8245,2,512,145,1.34
1749003493.8447611,2,512,146,1.36
1749003493.844795,2,512,147,1.34
1749003493.868472,2,512,148,0.35
1749003493.868496,2,512,149,0.32
1749003493.887339,2,512,150,1.36
1749003493.8898659,2,512,151,1.13
1749003493.9112692,2,512,152,0.94
1749003493.9112809,2,512,153,0.93
1749003493.933912,2,512,154,0.56
1749003493.933928,2,512,155,0.56
1749003493.955275,2,512,156,0.66
1749003493.955287,2,512,157,0.66
1749003493.976661,2,512,158,0.74
1749003493.976678,2,512,159,0.72
1749003493.995541,2,512,160,0.39
1749003493.996804,2,512,161,0.64
1749003494.0169542,2,512,162,1.34
1749003494.016972,2,512,163,0.65
1749003494.040753,2,512,164,1.36
1749003494.040765,2,512,165,1.36
1749003494.059649,2,512,166,1.34
1749003494.059674,2,512,167,0.22
1749003494.083512,2,512,168,0.47
1749003494.083533,2,512,169,0.47
1749003494.102392,2,512,170,0.18
1749003494.103656,2,512,171,0.37
1749003494.1250381,2,512,172,1.23
1749003494.1250591,2,512,173,1.23
1749003494.145188,2,512,174,1.34
1749003494.145202,2,512,175,1.34
1749003494.166254,2,512,176,1.13
1749003494.1662772,2,512,177,1.13
1749003494.188923,2,512,178,0.36
1749003494.188938,2,512,179,0.36
1749003494.207826,2,512,180,1.36
1749003494.210325,2,512,181,1.21
1749003494.227916,2,512,182,1.35
1749003494.23043,2,512,183,0.65
1749003494.25175,2,512,184,0.96
1749003494.251764,2,512,185,0.96
1749003494.271999,2,512,186,0.69
1749003494.272038,2,512,187,0.69
1749003494.293519,2,512,188,1.42
1749003494.293534,2,512,189,1.41
1749003494.3176708,2,512,190,1.49
1749003494.317686,2,512,191,1.49
1749003494.3366039,2,512,192,0.48
1749003494.336619,2,512,193,0.40
1749003494.35688,2,512,194,0.69
1749003494.356897,2,512,195,0.65
1749003494.3783,2,512,196,1.40
1749003494.3783271,2,512,197,1.39
1749003494.398205,2,512,198,1.37
1749003494.3982248,2,512,199,1.25
1749003494.418303,2,512,200,1.36
1749003494.418324,2,512,201,1.21
1749003494.439679,2,512,202,1.34
1749003494.4396958,2,512,203,1.34
1749003494.458577,2,512,204,1.37
1749003494.459816,2,512,205,1.16
1749003494.479796,2,512,206,1.34
1749003494.47981,2,512,207,1.09
1749003494.502423,2,512,208,1.35
1749003494.502437,2,512,209,1.30
1749003494.5239801,2,512,210,0.84
1749003494.5239968,2,512,211,0.80
1749003494.546937,2,512,212,1.29
1749003494.5469499,2,512,213,1.29
1749003494.568619,2,512,214,0.99
1749003494.568633,2,512,215,0.98
1749003494.591548,2,512,216,1.36
1749003494.591563,2,512,217,1.36
1749003494.61324,2,512,218,1.21
1749003494.6132631,2,512,219,1.21
1749003494.6323059,2,512,220,0.80
1749003494.633572,2,512,221,1.40
1749003494.655211,2,512,222,1.40
1749003494.655235,2,512,223,1.40
1749003494.6730292,2,512,224,0.66
1749003494.675586,2,512,225,1.36
1749003494.698464,2,512,226,1.50
1749003494.698497,2,512,227,1.48
1749003494.716318,2,512,228,1.47
1749003494.7188659,2,512,229,1.28
1749003494.740737,2,512,230,1.50
1749003494.740845,2,512,231,1.52
1749003494.761285,2,512,232,1.75
1749003494.761423,2,512,233,1.71
1749003494.78311,2,512,234,1.83
1749003494.783267,2,512,235,1.85
1749003494.801923,2,512,236,1.52
1749003494.803134,2,512,237,1.46
1749003494.826519,2,512,238,1.24
1749003494.826646,2,512,239,1.15
1749003494.844557,2,512,240,1.65
1749003494.8468711,2,512,241,0.67
