timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003512.670385,1,1024,0,1.28
1749003512.6704152,1,1024,1,1.22
1749003512.6704519,1,1024,2,1.24
1749003512.6704671,1,1024,3,1.24
1749003512.670509,1,1024,4,1.28
1749003512.6705222,1,1024,5,1.28
1749003512.6705332,1,1024,6,1.28
1749003512.6705642,1,1024,7,1.31
1749003512.670578,1,1024,8,1.31
1749003512.6706119,1,1024,9,1.34
1749003512.6706471,1,1024,10,1.37
1749003512.670658,1,1024,11,1.36
1749003512.67068,1,1024,12,1.38
1749003512.6706922,1,1024,13,1.38
1749003512.6707141,1,1024,14,1.40
1749003512.670725,1,1024,15,1.41
1749003512.670762,1,1024,16,1.44
1749003512.670774,1,1024,17,1.44
1749003512.670784,1,1024,18,1.45
1749003512.670794,1,1024,19,1.45
1749003512.6708329,1,1024,20,1.48
1749003512.670847,1,1024,21,1.49
1749003512.670857,1,1024,22,1.49
1749003512.67089,1,1024,23,1.52
1749003512.670902,1,1024,24,1.53
1749003512.670912,1,1024,25,1.53
1749003512.6709208,1,1024,26,1.53
1749003512.6709461,1,1024,27,1.55
1749003512.6709728,1,1024,28,1.57
1749003512.670984,1,1024,29,1.58
1749003512.6709929,1,1024,30,1.58
1749003512.671018,1,1024,31,1.60
1749003512.671041,1,1024,32,1.62
1749003512.671051,1,1024,33,1.62
1749003512.671078,1,1024,34,1.64
1749003512.6710882,1,1024,35,1.65
1749003512.671096,1,1024,36,1.65
1749003512.671103,1,1024,37,1.65
1749003512.671131,1,1024,38,1.67
1749003512.6711411,1,1024,39,1.67
1749003512.671147,1,1024,40,1.67
1749003512.671169,1,1024,41,1.69
1749003512.671179,1,1024,42,1.69
1749003512.671186,1,1024,43,1.69
1749003512.671208,1,1024,44,1.71
1749003512.6712189,1,1024,45,1.71
1749003512.671226,1,1024,46,1.72
1749003512.671249,1,1024,47,1.73
1749003512.6712599,1,1024,48,1.74
1749003512.671267,1,1024,49,1.74
1749003512.6712902,1,1024,50,1.76
1749003512.6713002,1,1024,51,1.76
1749003512.671307,1,1024,52,1.76
1749003512.671329,1,1024,53,1.78
1749003512.67134,1,1024,54,1.79
1749003512.671347,1,1024,55,1.79
1749003512.671369,1,1024,56,1.80
1749003512.67138,1,1024,57,1.81
1749003512.671387,1,1024,58,1.81
